intentId,contestId,candidateId,amount,status,createdAt
8fS4AFpCdtKTSOuIptwz,votes-artistes,R3DRrtGPGfw8jsQxG4r8,2000,pending,2025-12-15T15:36:10.796Z
8iP3RqSuVWGn0HXTVd4S,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-16T16:02:53.554Z
8jQEf9Y5jdVKfhKq0NB4,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-15T18:05:57.487Z
8kLh2tjKeLM3ixs0RpxI,votes-artistes,lrK8tSxZpQPYFTmIF7On,100,pending,2025-12-16T14:24:00.558Z
8phK8eibBSlWv4EWAJzp,votes-artistes,6AkulXNEKwaJVwByJl7t,300,pending,2025-12-16T12:54:38.105Z
8qAanemi9YnpxIqiNMqT,votes-artistes,GEVWzgnMyTnavWjEa6pg,1000,pending,2025-12-17T18:52:33.980Z
8rDe0ztz4jJ6acXiVqsg,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-20T04:50:17.333Z
8roxwYPFa330JG9bbL2b,votes-artistes,oucOMPgDKDQR8GKDvFHJ,1900,pending,2025-12-19T07:14:31.471Z
8uU0lUfItmik9A32KBIO,votes-artistes,QYa6O7F6VvbOPzwmlD0Q,100,pending,2025-12-19T06:03:10.015Z
8wpnU70C9Ht5zvnl9Ec3,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-16T20:58:17.983Z
8wwRn1IXwHFuWYUqBxJS,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-16T09:37:09.399Z
8y0RgdaaYl6fc9tbSKvH,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-19T06:39:30.812Z
93q8y7XQILtG94tzDQxi,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-16T17:07:58.880Z
9E30k6BS12wnzjQvFeuM,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T15:36:54.620Z
9QyNDJR7s2LQ4dvdr8Z0,votes-artistes,ANLYRIZ6gRU8LgLSyaRq,5100,pending,2025-12-15T09:32:21.539Z
9ZqQs0EmFwzu9LLh3Yib,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T09:35:28.000Z
9jddeDKZbmGKgbhfUPeb,votes-artistes,GEVWzgnMyTnavWjEa6pg,500,pending,2025-12-17T10:04:25.950Z
9kweaO2sCSUKv5UTyoll,votes-artistes,RIAr7Uw1uo74gAhWWM9c,200,pending,2025-12-16T13:32:58.411Z
9m5hTPUkjxF39RkJFUHg,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T08:15:19.876Z
9mH2WNSmsR21DWUTvYIX,votes-artistes,8ELIXFDTdljYr37syNyv,100,pending,2025-12-15T13:11:00.745Z
9qnAezuzl7u4N4MVeztT,votes-artistes,noLuODpebT7EXpZWBRkH,2500,pending,2025-12-15T15:07:01.072Z
9qsTlhKNpzrYT2Wfo7mh,votes-artistes,zNIM4k3VP04xbhamFPva,100,pending,2025-12-15T06:19:34.334Z
9rzd7bRwrYcUhi9DP8TM,votes-artistes,GEVWzgnMyTnavWjEa6pg,2000,pending,2025-12-19T18:49:46.968Z
A0ChB17xRRUOUMBpM5BV,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T22:54:00.973Z
AENwAKCJAj2PW3JUu8fd,votes-artistes,noLuODpebT7EXpZWBRkH,1000,pending,2025-12-15T20:46:10.275Z
AOluk5dcYx2DMtxFINKU,votes-artistes,oucOMPgDKDQR8GKDvFHJ,300,pending,2025-12-16T17:56:37.006Z
AVwgsklVlJaDIv66IvRQ,votes-artistes,TXBLgEfug2LJqx5MXWe4,500,pending,2025-12-19T18:12:26.565Z
AiZqdhdQ13MdhxxdmzZn,votes-artistes,81cTWJpXQxqb1LcEQ9Nd,100,pending,2025-12-15T12:58:56.651Z
Akvh5ZfzoJIIAD0S5isl,votes-artistes,GEVWzgnMyTnavWjEa6pg,200,pending,2025-12-17T17:04:32.379Z
Ap5ll3GQVcxHIktklMe8,votes-artistes,lrK8tSxZpQPYFTmIF7On,100,pending,2025-12-19T22:05:08.101Z
AuUqF4tEBmgpVjLoIe7T,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-17T18:36:06.739Z
Audyzsx9PdHi00e0He0w,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-18T21:15:07.826Z
AvnoknVpbukP3Ro17GQW,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-18T07:17:21.927Z
B5wOje56QN099WRnvvqd,votes-artistes,TXBLgEfug2LJqx5MXWe4,10000,pending,2025-12-19T21:40:35.580Z
B6GZhFFk0UUyYQn6GeWe,votes-artistes,R3DRrtGPGfw8jsQxG4r8,100,pending,2025-12-15T08:33:25.954Z
BIhzpyNB4vQAmPR6PC7l,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T21:38:09.606Z
BNDFmtSaRr3qlnQG5Gw9,votes-artistes,lrK8tSxZpQPYFTmIF7On,15000,pending,2025-12-16T11:09:25.927Z
BWvc3RyytT4WQQ0I86tY,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-16T21:14:41.120Z
BlAsjopePo1U2F65F2OO,votes-artistes,oucOMPgDKDQR8GKDvFHJ,500,pending,2025-12-18T18:04:23.676Z
BxStuieb875xZZHU4vNc,votes-artistes,GEVWzgnMyTnavWjEa6pg,2000,pending,2025-12-19T18:33:29.497Z
Bz78flr5eGZCJTclQfAu,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-18T21:15:47.659Z
C0fkKBlGxcBhSwJBhRr4,votes-artistes,TXBLgEfug2LJqx5MXWe4,600,pending,2025-12-16T05:43:22.876Z
C5NrEJojRtVtIGsd6STO,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T21:07:35.379Z
C82wJN8MvbLcVbW1Z4O0,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-17T13:11:43.012Z
